id;nombre;email;telefono;razon_social;rfc;activo
1;digestive;Mayte.VazquezUlibarri@yahoo.com;boo;furlough;under nor aw;false
2;underneath controvert provided;Josep.OrtegaAvalos14@yahoo.com;if omelet;lyre impact who;microchip;false
3;shadowbox physically;Hermenegildo.SosaPreciado@yahoo.com;split;supplier how;gah through r;true
4;whoa aboard;Carlos.HidalgoCaldera23@hotmail.com;off phooey bravely;gadzooks;supposing ver;false
5;barring;Pablo61@yahoo.com;excluding minus;while;duh fooey;true
6;nephew before;Salvador_OrtaZamora@yahoo.com;actually within;stack ripe puny;switchboard;true
7;really though;Maria.MartinezSalas90@hotmail.com;redesign abaft rise;regarding;obnoxiously;true
8;vivid colorful;AnaLuisa.RaelPulido@hotmail.com;camouflage wherever lay;phooey hmph faithfully;ribbon;true
9;nor;Florencia61@hotmail.com;how unique;notwithstanding;instead snapp;false
10;oh;Marcos_PaezEspinal43@gmail.com;tremendously;basic;failing parch;false
